date,symbol,close,low,high,open,volume
2020-01-01,AAPL,225.82,221.3,230.34,226.25,38080142
2020-01-02,AAPL,216.19,211.86,220.51,216.69,32644452
2020-01-03,AAPL,207.81,203.66,211.97,208.97,64657135
2020-01-04,AAPL,217.26,212.91,221.61,218.15,97651507
2020-01-05,AAPL,217.18,212.84,221.53,215.44,98591277
2020-01-06,AAPL,218.42,214.05,222.79,219.41,38688272
2020-01-07,AAPL,216.6,212.27,220.93,218.0,83132465
2020-01-08,AAPL,226.27,221.74,230.79,227.6,15371114
2020-01-09,AAPL,216.05,211.72,220.37,214.49,68101177
2020-01-10,AAPL,226.01,221.49,230.53,227.53,60383724
2020-01-11,AAPL,230.42,225.81,235.02,231.51,3319133
2020-01-12,AAPL,241.54,236.7,246.37,239.28,23398607
2020-01-13,AAPL,236.69,231.95,241.42,235.89,4812573
2020-01-14,AAPL,243.51,238.64,248.38,241.95,94979590
2020-01-15,AAPL,251.71,246.67,256.74,250.44,93722037
2020-01-16,AAPL,248.98,244.0,253.96,250.53,49280951
2020-01-17,AAPL,241.17,236.34,245.99,240.74,20173064
2020-01-18,AAPL,245.79,240.87,250.7,244.28,92934158
2020-01-19,AAPL,254.31,249.22,259.39,256.42,97865912
2020-01-20,AAPL,242.08,237.24,246.92,242.16,43672616
2020-01-21,AAPL,240.44,235.64,245.25,238.97,19395463
2020-01-22,AAPL,245.9,240.98,250.81,244.57,78122948
2020-01-23,AAPL,234.83,230.13,239.53,233.47,25009827
2020-01-24,AAPL,239.29,234.51,244.08,237.61,93514756
2020-01-25,AAPL,244.27,239.39,249.16,242.62,47550563
2020-01-26,AAPL,239.91,235.11,244.71,241.36,27577922
2020-01-27,AAPL,240.87,236.05,245.68,239.22,58699438
2020-01-28,AAPL,237.41,232.66,242.16,238.83,44566287
2020-01-29,AAPL,228.02,223.46,232.58,226.03,62413960
2020-01-30,AAPL,224.71,220.22,229.2,224.22,32151444
2020-01-31,AAPL,217.25,212.9,221.59,216.28,86743352
2020-02-01,AAPL,206.67,202.53,210.8,208.24,7219954
2020-02-02,AAPL,208.55,204.38,212.72,208.52,64237398
2020-02-03,AAPL,212.15,207.91,216.39,213.54,81492665
2020-02-04,AAPL,220.95,216.54,225.37,222.5,89031497
2020-02-05,AAPL,228.64,224.06,233.21,229.0,29762754
2020-02-06,AAPL,219.32,214.93,223.7,220.79,29266955
2020-02-07,AAPL,223.93,219.45,228.4,224.04,51432184
2020-02-08,AAPL,218.55,214.18,222.92,218.9,49630970
2020-02-09,AAPL,216.03,211.7,220.35,215.89,49185507
2020-02-10,AAPL,207.41,203.26,211.55,206.43,34911711
2020-02-11,AAPL,216.57,212.24,220.91,217.36,85615051
2020-02-12,AAPL,214.24,209.95,218.52,212.82,42425849
2020-02-13,AAPL,211.88,207.64,216.12,210.24,64372996
2020-02-14,AAPL,209.96,205.76,214.16,209.25,61877225
2020-02-15,AAPL,210.4,206.19,214.6,210.45,94638622
2020-02-16,AAPL,210.53,206.31,214.74,209.4,26839897
2020-02-17,AAPL,210.13,205.93,214.33,211.9,16609147
2020-02-18,AAPL,212.92,208.66,217.18,210.87,20566332
2020-02-19,AAPL,217.47,213.12,221.82,217.21,14710069
2020-02-20,AAPL,217.62,213.26,221.97,216.24,8263719
2020-02-21,AAPL,219.19,214.81,223.58,219.83,88207818
2020-02-22,AAPL,221.69,217.26,226.12,219.9,13191888
2020-02-23,AAPL,217.74,213.38,222.09,217.69,12873510
2020-02-24,AAPL,215.88,211.56,220.2,216.56,80274819
2020-02-25,AAPL,208.7,204.53,212.87,207.64,11213007
2020-02-26,AAPL,206.67,202.54,210.81,206.66,35644181
2020-02-27,AAPL,206.14,202.02,210.27,204.74,92198149
2020-02-28,AAPL,207.16,203.01,211.3,208.19,3930794
2020-02-29,AAPL,211.27,207.05,215.5,210.56,27468948
2020-03-01,AAPL,216.32,212.0,220.65,215.89,90226025
2020-03-02,AAPL,214.37,210.08,218.65,212.58,70338660
2020-03-03,AAPL,207.6,203.45,211.76,208.39,88850042
2020-03-04,AAPL,203.02,198.96,207.08,203.7,92664399
2020-03-05,AAPL,206.73,202.6,210.87,205.7,4416681
2020-03-06,AAPL,200.7,196.69,204.72,202.08,12624217
2020-03-07,AAPL,204.58,200.49,208.67,204.67,77120450
2020-03-08,AAPL,213.38,209.11,217.65,212.77,62084972
2020-03-09,AAPL,216.41,212.08,220.74,214.99,76128501
2020-03-10,AAPL,208.95,204.77,213.13,210.97,19627621
2020-03-11,AAPL,209.3,205.11,213.48,208.93,64409620
2020-03-12,AAPL,214.98,210.68,219.28,215.81,62007705
2020-03-13,AAPL,221.11,216.69,225.53,220.82,92449360
2020-03-14,AAPL,218.51,214.14,222.88,218.32,22081198
2020-03-15,AAPL,216.85,212.52,221.19,216.96,47545315
2020-03-16,AAPL,216.5,212.17,220.83,215.66,41647241
2020-03-17,AAPL,213.0,208.74,217.26,212.59,30509873
2020-03-18,AAPL,216.32,212.0,220.65,218.01,53164304
2020-03-19,AAPL,218.3,213.94,222.67,218.54,98381804
2020-03-20,AAPL,208.75,204.58,212.93,208.59,9910909
2020-03-21,AAPL,215.57,211.26,219.88,214.12,7000974
2020-03-22,AAPL,217.3,212.95,221.64,218.97,27519433
2020-03-23,AAPL,220.04,215.64,224.44,218.52,49222849
2020-03-24,AAPL,230.12,225.52,234.72,231.98,17334243
2020-03-25,AAPL,231.53,226.9,236.16,230.08,90863541
2020-03-26,AAPL,231.98,227.34,236.62,233.16,39382934
2020-03-27,AAPL,221.75,217.31,226.18,223.45,22654799
2020-03-28,AAPL,216.5,212.17,220.83,214.53,8040335
2020-03-29,AAPL,221.01,216.59,225.43,222.13,38131826
2020-03-30,AAPL,220.31,215.9,224.72,218.78,7665902
2020-03-31,AAPL,224.15,219.66,228.63,223.14,13090021
2020-04-01,AAPL,229.54,224.95,234.13,230.77,66670425
