time,mag,lat,lon,depth,place
2020-10-30 11:51,7.0,37.8973,26.7838,21.0,"13 km NNE of Néon Karlovásion, Greece"
2020-10-19 20:54,7.6,54.602,-159.6258,28.37,"2020 Sand Point, Alaska Earthquake"
2020-07-22 06:12,7.8,55.0715,-158.596,28.0,"2020 Perryville, Alaska Earthquake"
2020-07-17 02:50,7.0,-7.836,147.7704,73.0,"114 km NNW of Popondetta, Papua New Guinea"
2020-06-23 15:29,7.4,15.8861,-96.0077,20.0,"9 km SE of Santa María Xadani, Mexico"
2020-06-18 12:49,7.4,-33.2927,-177.8571,10.0,south of the Kermadec Islands
2020-03-25 02:49,7.5,48.9638,157.6955,57.8,"221 km SSE of Severo-Kuril’sk, Russia"
2020-02-13 10:33,7.0,45.6161,148.959,143.0,"95 km ENE of Kuril’sk, Russia"
2020-01-28 19:10,7.7,19.4193,-78.756,14.86,"123 km NNW of Lucea, Jamaica"
2019-11-14 16:17,7.1,1.6213,126.4156,33.0,"141 km NW of Ternate, Indonesia"
2019-07-14 09:10,7.2,-0.5858,128.034,18.98,"155 km SSE of Sofifi, Indonesia"
2019-07-06 03:19,7.1,35.7695,-117.5993333,8.0,Ridgecrest Earthquake Sequence
2019-06-24 02:53,7.3,-6.4078,129.1692,212.0,Banda Sea
2019-06-15 22:55,7.3,-30.6441,-178.0995,46.0,"Kermadec Islands, New Zealand"
2019-05-26 07:41,8.0,-5.8119,-75.2697,122.57,"78 km NE of Navarro, Peru"
2019-05-14 12:58,7.6,-4.051,152.5967,10.0,"48 km NE of Kokopo, Papua New Guinea"
2019-05-06 21:19,7.1,-6.9746,146.4494,146.0,"32 km NW of Bulolo, Papua New Guinea"
2019-03-01 08:50,7.0,-14.7131,-70.1546,267.0,"22 km NNE of Azángaro, Peru"
2019-02-22 10:17,7.5,-2.1862,-77.0505,145.0,"115 km ESE of Palora, Ecuador"
2018-12-29 03:39,7.0,5.8983,126.9209,60.21,"96 km ESE of Pondaguitan, Philippines"
2018-12-20 17:01,7.3,55.0999,164.6993,16.56,"187 km SE of Ust’-Kamchatsk Staryy, Russia"
2018-12-11 02:26,7.1,-58.5446,-26.3856,133.0,South Sandwich Islands region
2018-12-05 04:18,7.5,-21.9496,169.4266,10.0,"166 km ESE of Tadine, New Caledonia"
2018-11-30 17:29,7.1,61.3464,-149.9552,46.7,"1 km SE of Point MacKenzie, Alaska"
2018-10-10 20:48,7.0,-5.7012,151.2046,39.0,"119 km E of Kimbe, Papua New Guinea"
2018-09-28 10:02,7.5,-0.2559,119.8462,20.0,"72 km N of Palu, Indonesia"
2018-09-06 15:49,7.9,-18.4743,179.3502,670.81,"45 km S of Levuka, Fiji"
2018-08-29 03:51,7.1,-22.0295,170.1262,21.43,"238 km ESE of Tadine, New Caledonia"
2018-08-24 09:04,7.1,-11.0355,-70.8284,630.0,"136 km W of Iñapari, Peru"
2018-08-21 21:31,7.3,10.7731,-62.9019,146.82,"40 km ENE of Carúpano, Venezuela"
2018-08-19 00:19,8.2,-18.1125,-178.153,600.0,2018 Fiji Earthquake
2018-02-25 17:44,7.5,-6.0699,142.7536,25.21,"32 km SW of Tari, Papua New Guinea"
2018-02-16 23:39,7.2,16.3855,-97.9787,22.0,"4 km S of Pinotepa de Don Luis, Mexico"
2018-01-23 09:31,7.9,56.0039,-149.1658,14.06,"261 km SE of Chiniak, Alaska"
2018-01-14 09:18,7.1,-15.7675,-74.7092,39.0,"37 km W of Atiquipa, Peru"
2018-01-10 02:51,7.5,17.4825,-83.52,19.0,"203 km NNE of Barra Patuca, Honduras"
2017-11-19 22:43,7.0,-21.3246,168.6715,10.0,"85 km ENE of Tadine, New Caledonia"
2017-11-12 18:18,7.3,34.9109,45.9592,19.0,"29 km S of ?alabja, Iraq"
2017-09-19 18:14,7.1,18.5499,-98.4887,48.0,"1 km S of Matzaco, Mexico"
2017-09-08 04:49,8.2,15.0222,-93.8993,47.39,"2017 Tehuantepec, Mexico Earthquake"
2017-07-17 23:34,7.7,54.4434,168.857,10.0,"Komandorskiye Ostrova, Russia region"
2017-01-22 04:30,7.9,-6.2464,155.1718,135.0,"35 km WNW of Panguna, Papua New Guinea"
2017-01-10 06:13,7.3,4.4782,122.6171,627.17,"189 km SSE of Tabiauan, Philippines"
2016-12-25 14:22,7.6,-43.4064,-73.9413,38.0,"41 km SW of Quellón, Chile"
2016-12-17 10:51,7.9,-4.5049,153.5216,94.54,"140 km E of Kokopo, Papua New Guinea"
2016-12-08 17:38,7.8,-10.6812,161.3273,40.0,"69 km WSW of Kirakira, Solomon Islands"
2016-11-13 11:02,7.8,-42.7373,173.054,15.11,"53 km NNE of Amberley, New Zealand"
2016-09-01 16:37,7.0,-37.3586,179.1461,19.0,"175 km NE of Gisborne, New Zealand"
2016-08-29 04:29,7.1,-0.0456,-17.8255,10.0,north of Ascension Island
2016-08-19 07:32,7.4,-55.2852,-31.8766,10.0,South Georgia Island region
2016-08-12 01:26,7.2,-22.4765,173.1167,16.37,southeast of the Loyalty Islands
2016-07-29 21:18,7.7,18.5429,145.5073,196.0,"Pagan region, Northern Mariana Islands"
2016-05-28 09:46,7.2,-56.2409,-26.9353,78.0,South Sandwich Islands region
2016-04-28 19:33,7.0,-16.0429,167.3786,24.0,"3 km NW of Norsup, Vanuatu"
2016-04-16 23:58,7.8,0.3819,-79.9218,20.59,"27 km SSE of Muisne, Ecuador"
2016-04-15 16:25,7.0,32.7906,130.7543,10.0,"6 km ESE of Kumamoto, Japan"
2016-03-02 12:49,7.8,-4.9521,94.3299,24.0,"southwest of Sumatra, Indonesia"
2016-01-30 03:25,7.2,53.9776,158.5463,177.0,"80 km S of Mil’kovo, Russia"
2016-01-24 10:30,7.1,59.6204,-153.3392,125.6,"47 km ESE of Pedro Bay, Alaska"
2015-12-07 07:50,7.2,38.2107,72.7797,22.0,"104 km W of Murghob, Tajikistan"
2015-12-04 22:25,7.1,-47.6165,85.0913,35.0,southeast Indian Ridge
2015-11-24 22:50,7.6,-10.0598,-71.0184,620.56,"185 km WNW of Iñapari, Peru"
2015-11-24 22:45,7.6,-10.5372,-70.9437,606.21,"155 km WNW of Iñapari, Peru"
2015-10-26 09:09,7.5,36.5244,70.3676,231.0,"Hindu Kush region, Afghanistan"
2015-10-20 21:52,7.1,-14.8595,167.3028,135.0,"31 km NE of Port-Olry, Vanuatu"
2015-09-16 23:18,7.0,-31.5622,-71.4262,28.41,"25 km WNW of Illapel, Chile"
2015-09-16 22:54,8.3,-31.5729,-71.6744,22.44,"48 km W of Illapel, Chile"
2015-07-27 21:41,7.0,-2.6286,138.5277,48.0,"234 km W of Abepura, Indonesia"
2015-07-18 02:27,7.0,-10.4012,165.1409,11.0,"80 km WNW of Lata, Solomon Islands"
2015-06-17 12:51,7.0,-35.3639,-17.1605,10.0,southern Mid-Atlantic Ridge
2015-05-30 11:23,7.8,27.8386,140.4931,664.0,"Bonin Islands, Japan region"
2015-05-12 07:05,7.3,27.8087,86.0655,15.0,Nepal
2015-05-07 07:10,7.1,-7.2175,154.5567,10.0,"143 km SW of Panguna, Papua New Guinea"
2015-05-05 01:44,7.5,-5.4624,151.8751,55.0,"131 km SSW of Kokopo, Papua New Guinea"
2015-04-25 06:11,7.8,28.2305,84.7314,8.22,"67 km NNE of Bharatpur, Nepal"
