time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-05-12T23:54:46.860Z,31.298,103.53,10,5.1,mwc,235,50.9,,0.68,us,usp000g6ez,2022-05-02T20:21:06.764Z,"52 km NW of Tianpeng, China",earthquake,,,,,reviewed,us,gcmt
2008-05-12T23:46:18.970Z,31.282,103.527,10,5.2,mwc,276,37.4,,0.7,us,usp000g6ew,2025-12-22T15:16:49.002Z,"51 km NW of Tianpeng, China",earthquake,,,,,reviewed,us,gcmt
2008-05-12T23:43:51.350Z,31.406,104.213,10,4.4,mb,45,95.4,,0.73,us,usp000g6ev,2014-11-07T01:35:59.335Z,"34 km NNW of Deyang, China",earthquake,,,,11,reviewed,us,us
2008-05-12T23:38:13.740Z,32.016,104.529,10,4.1,mb,41,95.8,,0.53,us,usp000g6eu,2014-11-07T01:35:59.331Z,"32 km NNW of Jiangyou, China",earthquake,,,,10,reviewed,us,us
2008-05-12T22:52:56.650Z,30.926,103.541,10,4.1,mb,28,56.2,,0.61,us,usp000g6eq,2014-11-07T01:35:59.309Z,"38 km W of Tianpeng, China",earthquake,,,,7,reviewed,us,us
2008-05-12T22:47:20.980Z,31.192,103.614,10,4,mb,32,79.6,,1.06,us,usp000g6ep,2014-11-07T01:35:59.306Z,"38 km NW of Tianpeng, China",earthquake,,,,10,reviewed,us,us
2008-05-12T22:40:38.800Z,31.087,103.621,10,4.1,mb,26,116.5,,0.63,us,usp000g6en,2014-11-07T01:35:59.303Z,"32 km WNW of Tianpeng, China",earthquake,,,,8,reviewed,us,us
2008-05-12T22:39:00.550Z,31.618,104.349,10,4.3,mb,22,66.8,,0.77,us,usp000g6em,2014-11-07T01:35:59.301Z,"35 km WNW of Mianyang, China",earthquake,,,,5,reviewed,us,us
2008-05-12T22:28:35.590Z,31.033,103.701,10,4.3,mb,37,68.1,,0.59,us,usp000g6ek,2014-11-07T01:35:59.298Z,"23 km WNW of Tianpeng, China",earthquake,,,,7,reviewed,us,us
2008-05-12T22:24:41.530Z,31.933,105.132,10,4.1,mb,36,84.6,,1.26,us,usp000g6ej,2014-11-07T01:35:59.295Z,"43 km ENE of Jiangyou, China",earthquake,,,,11,reviewed,us,us
2008-05-12T22:23:11.620Z,31.778,104.22,10,4.3,mb,24,60.7,,0.99,us,usp000g6eh,2014-11-07T01:35:59.293Z,"47 km W of Jiangyou, China",earthquake,,,,6,reviewed,us,us
2008-05-12T21:41:17.230Z,32.223,105.347,10,4.1,mb,35,96.1,,0.93,us,usp000g6ed,2014-11-07T01:35:59.281Z,"50 km WSW of Guangyuan, China",earthquake,,,,5,reviewed,us,us
2008-05-12T21:39:08.850Z,32.196,104.897,10,4.1,mb,25,97.4,,0.75,us,usp000g6ec,2014-11-07T01:35:59.256Z,"50 km NNE of Jiangyou, China",earthquake,,,,7,reviewed,us,us
2008-05-12T21:08:13.530Z,31.288,103.451,10,4.6,mb,82,49.9,,1.12,us,usp000g6e7,2014-11-07T01:35:59.231Z,"57 km NW of Tianpeng, China",earthquake,,,,33,reviewed,us,us
