时间,震级,地点,前半段深度TSE,后半段深度TSE,深度变化,前半段震级TSE,后半段震级TSE,震级变化,前震数量
2020-10-30 11:51:27.348000,7.0,"13 km NNE of Néon Karlovásion, Greece",1.4973,1.4973,0.0000,1.4892,1.4317,0.0575,10
2020-10-19 20:54:38.950000,7.6,"2020 Sand Point, Alaska Earthquake",1.4973,1.4981,-0.0008,1.4973,1.4830,0.0142,11
2020-07-22 06:12:44.810000,7.8,"2020 Perryville, Alaska Earthquake",1.4876,1.4778,0.0097,1.4986,1.5000,-0.0014,14
2020-07-17 02:50:22.178000,7.0,"114 km NNW of Popondetta, Papua New Guinea",1.4527,1.4986,-0.0459,1.4527,1.4876,-0.0349,13
2020-06-23 15:29:04.350000,7.4,"9 km SE of Santa María Xadani, Mexico",1.5000,1.4892,0.0108,1.4958,1.4564,0.0393,9
2020-06-18 12:49:53.844000,7.4,south of the Kermadec Islands,1.4925,1.5000,-0.0075,1.4925,1.4986,-0.0061,13
2020-03-25 02:49:21.160000,7.5,"221 km SSE of Severo-Kuril’sk, Russia",1.4981,1.4981,0.0000,1.4925,1.4527,0.0398,12
2020-02-13 10:33:44.406000,7.0,"95 km ENE of Kuril’sk, Russia",1.4317,1.4981,-0.0665,1.4564,1.4527,0.0037,11
2020-01-28 19:10:24.918000,7.7,"123 km NNW of Lucea, Jamaica",1.4698,1.4986,-0.0288,1.4981,1.4876,0.0106,13
2019-11-14 16:17:40.578000,7.1,"141 km NW of Ternate, Indonesia",1.4698,1.4986,-0.0288,1.5000,1.4945,0.0055,13
2019-07-14 09:10:51.523000,7.2,"155 km SSE of Sofifi, Indonesia",1.4945,1.4778,0.0166,1.5000,1.4778,0.0222,14
2019-07-06 03:19:53.040000,7.1,Ridgecrest Earthquake Sequence,1.5000,1.4981,0.0019,1.4973,1.4830,0.0142,11
2019-06-24 02:53:39.830000,7.3,Banda Sea,1.4925,1.4698,0.0227,1.4830,1.4830,0.0000,12
2019-06-15 22:55:04.130000,7.3,"Kermadec Islands, New Zealand",1.4317,1.4925,-0.0608,1.5000,1.4981,0.0019,12
2019-05-26 07:41:15.073000,8.0,"78 km NE of Navarro, Peru",1.5000,1.4698,0.0302,1.5000,1.4925,0.0075,12
2019-05-14 12:58:25.939000,7.6,"48 km NE of Kokopo, Papua New Guinea",1.4973,1.4564,0.0409,1.4892,1.4973,-0.0081,10
2019-05-06 21:19:37.983000,7.1,"32 km NW of Bulolo, Papua New Guinea",1.5000,1.4973,0.0027,1.5000,1.4892,0.0108,10
2019-03-01 08:50:42.591000,7.0,"22 km NNE of Azángaro, Peru",1.5000,1.4892,0.0108,1.4756,1.4973,-0.0217,10
2019-02-22 10:17:23.770000,7.5,"115 km ESE of Palora, Ecuador",1.4925,1.4830,0.0094,1.4925,1.4925,0.0000,12
2018-12-29 03:39:09.740000,7.0,"96 km ESE of Pondaguitan, Philippines",1.4981,1.4925,0.0056,1.4830,1.4981,-0.0151,12
2018-12-20 17:01:55.150000,7.3,"187 km SE of Ust’-Kamchatsk Staryy, Russia",1.4830,1.4892,-0.0061,1.4317,1.4756,-0.0439,9
2018-12-11 02:26:29.420000,7.1,South Sandwich Islands region,1.4756,1.5000,-0.0244,1.4317,1.4973,-0.0656,10
2018-12-05 04:18:08.420000,7.5,"166 km ESE of Tadine, New Caledonia",1.4892,1.4830,0.0061,1.4756,1.4527,0.0229,11
2018-11-30 17:29:29.330000,7.1,"1 km SE of Point MacKenzie, Alaska",1.4981,1.4830,0.0151,1.4527,1.4981,-0.0454,12
2018-10-10 20:48:20.100000,7.0,"119 km E of Kimbe, Papua New Guinea",1.4892,1.4981,-0.0090,1.4973,1.4925,0.0048,11
2018-09-28 10:02:45.250000,7.5,"72 km N of Palu, Indonesia",1.4981,1.4981,0.0000,1.4527,1.4698,-0.0171,12
2018-09-06 15:49:18.710000,7.9,"45 km S of Levuka, Fiji",1.5000,1.4892,0.0108,1.4973,1.4564,0.0409,10
2018-08-29 03:51:56.100000,7.1,"238 km ESE of Tadine, New Caledonia",1.4564,1.5000,-0.0436,1.4973,1.4981,-0.0008,11
2018-08-24 09:04:08.250000,7.1,"136 km W of Iñapari, Peru",1.4892,1.4981,-0.0090,1.4756,1.4527,0.0229,11
2018-08-21 21:31:47.600000,7.3,"40 km ENE of Carúpano, Venezuela",1.4973,1.5000,-0.0027,1.4756,1.4981,-0.0226,11
2018-08-19 00:19:40.670000,8.2,2018 Fiji Earthquake,1.4527,1.4925,-0.0398,1.4317,1.4981,-0.0665,12
2018-02-25 17:44:44.140000,7.5,"32 km SW of Tari, Papua New Guinea",1.4925,1.4653,0.0272,1.4698,1.4876,-0.0178,13
2018-02-16 23:39:39.280000,7.2,"4 km S of Pinotepa de Don Luis, Mexico",1.4527,1.4830,-0.0304,1.4527,1.4981,-0.0454,12
2018-01-23 09:31:40.890000,7.9,"261 km SE of Chiniak, Alaska",1.4317,1.4892,-0.0575,1.4973,1.4756,0.0217,10
2018-01-14 09:18:45.540000,7.1,"37 km W of Atiquipa, Peru",1.4892,1.4756,0.0136,1.4892,1.4756,0.0136,10
2018-01-10 02:51:33.290000,7.5,"203 km NNE of Barra Patuca, Honduras",1.4564,1.5000,-0.0436,1.4564,1.4892,-0.0327,10
2017-11-19 22:43:29.250000,7.0,"85 km ENE of Tadine, New Caledonia",1.4973,1.4973,0.0000,1.4564,1.5000,-0.0436,10
