Type,Threshold,TPR,FPR,TP,FP,TN,FN
Depth,0.3,0.0,0.0,0,0,50,30
Depth,0.4,0.0,0.0,0,0,50,30
Depth,0.5,0.0,0.0,0,0,50,30
Depth,0.6,0.0,0.0,0,0,50,30
Depth,0.7,0.0,0.0,0,0,50,30
Depth,0.8,0.0,0.0,0,0,50,30
Depth,0.9,0.0,0.0,0,0,50,30
Depth,1.0,0.0,0.0,0,0,50,30
Depth,1.1,0.0,0.0,0,0,50,30
Depth,1.2,0.0,0.0,0,0,50,30
Depth,1.3,0.0,0.0,0,0,50,30
Depth,1.4,0.0,0.0,0,0,50,30
Depth,1.5,0.0,0.0,0,0,50,30
Mag,0.3,0.0,0.0,0,0,50,30
Mag,0.4,0.0,0.0,0,0,50,30
Mag,0.5,0.0,0.0,0,0,50,30
Mag,0.6,0.0,0.0,0,0,50,30
Mag,0.7,0.0,0.0,0,0,50,30
Mag,0.8,0.0,0.0,0,0,50,30
Mag,0.9,0.0,0.0,0,0,50,30
Mag,1.0,0.0,0.0,0,0,50,30
Mag,1.1,0.0,0.0,0,0,50,30
Mag,1.2,0.0,0.0,0,0,50,30
Mag,1.3,0.0,0.0,0,0,50,30
Mag,1.4,0.0,0.0,0,0,50,30
Mag,1.5,0.0,0.0,0,0,50,30
